IdMachine;Machine;Nom Appli;Nom long Appli;Type Machine;OS;Distribution;Environnement;Envt Déduit;Niveau de Service;Cpu;Ram (Go);Disque (Go);Cpu Pond.;Ram Pond. (Go);Disque Pond. (Go);Cpu+Ram/4;Heures Cpu;Code Domaine MDC;Libellé Domaine MDC;Statut
15461;;MERSI-TECH;MerSI socle technique (MERSI-TECH);ZVM;LINUX;;Prod;;;0.75;5.00;15.00;0.75;5.00;15.00;2.00;;STI_MERSI;STI-MERSI;Actif
15461;;MERSICARR;MerSI Carrière (MERSICARR);ZVM;LINUX;;Prod;;;0.75;5.00;15.00;0.75;5.00;15.00;2.00;;STI_MERSI;STI-MERSI;Actif
15461;;MERSIEDIT;MerSI Edition Générique (MERSIEDIT);ZVM;LINUX;;Prod;;;0.75;5.00;15.00;0.75;5.00;15.00;2.00;;STI_MERSI;STI-MERSI;Actif
15461;;MERSIOPERA;MerSI Opérateur (MERSIOPERA);ZVM;LINUX;;Prod;;;0.75;5.00;15.00;0.75;5.00;15.00;2.00;;STI_MERSI;STI-MERSI;Actif
3580;ASDLX117;RSR;RSR (RSR);VM;LINUX;Redhat_4.9;Hors Prod;;ELECTRUM;1.00;1.00;10.00;1.00;1.00;10.00;1.25;;RFO;RFO;Actif
5980;ASDLX126;;;VM;LINUX;Redhat_4.9;Hors Prod;;ELECTRUM;2.00;2.00;10.00;2.00;2.00;10.00;2.50;;;;Actif
5992;ASDLX130;;;VM;LINUX;Redhat_4.9;Hors Prod;;ELECTRUM;4.00;8.00;16.00;4.00;8.00;16.00;6.00;;;;Actif
4495;ASILX1275;;;VM;LINUX;Redhat_5.8;Hors Prod;;ELECTRUM;4.00;8.00;34.00;4.00;8.00;34.00;6.00;;;;Actif
3926;ASILX1354WRN;;;VM;LINUX;Redhat_4.8;Hors Prod;;ELECTRUM;1.00;2.00;10.00;1.00;2.00;10.00;1.50;;;;Actif
6849;ASILX976MANTIS;;;VM;LINUX;Redhat_4.8;Hors Prod;;ELECTRUM;1.00;5.00;15.00;1.00;5.00;15.00;2.25;;;;Actif
4121;ASPA095;SGAI-OR;Système de Gestion des Actions d'Identification OR (SGAI-OR);AIX;AIX;6.1;Prod;;;1.00;39.00;360.00;1.00;39.00;360.00;10.75;;RETRAITE;Retraite SI historique;Actif
6030;ASPLX1444;;;VM;LINUX;Redhat_4.9;Prod;;OR;4.00;7.00;70.00;4.00;7.00;70.00;5.75;;;;Actif
2665;ASPLX1445;;;VM;LINUX;Redhat_4.9;Prod;;OR;4.00;7.00;70.00;4.00;7.00;70.00;5.75;;;;Actif
12529;ASSA205;SGAI-OR;Système de Gestion des Actions d'Identification OR (SGAI-OR);AIX;AIX;6.1;Hors Prod;;;1.00;8.00;130.00;1.00;8.00;130.00;3.00;;RETRAITE;Retraite SI historique;Actif
3595;ASTLX059;;;VM;LINUX;Redhat_5.11;Hors Prod;;OR;4.00;2.00;27.00;4.00;2.00;27.00;4.50;;;;Actif
9472;BLOXONE-INFOBLOX;;;VM;LINUX;;Hors Prod;;ELECTRUM_G350;8.00;16.00;732.422;8.00;16.00;732.422;12.00;;;;Actif
15758;BROKER-VM;;;VM;LINUX;Redhat_8Server;Hors Prod;;OR;8.00;8.00;480.00;8.00;8.00;480.00;10.00;;;;Actif
12081;CAVDL1721039;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;33.00;2.00;2.00;33.00;2.50;;;;Actif
12186;CAVDL1721040;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;43.00;2.00;2.00;43.00;2.50;;;;Actif
12100;CAVDL1721042;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;213.00;2.00;2.00;213.00;2.50;;;;Actif
12135;CAVDL1721043;;;VM;LINUX;CentOS_6Server;Hors Prod;;ARGENT;2.00;4.00;768.00;2.00;4.00;768.00;3.00;;;;Actif
9222;CAVDL1721044;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;28.00;2.00;2.00;28.00;2.50;;;;Actif
10559;CAVDL2721038;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;4.00;238.00;2.00;4.00;238.00;3.00;;;;Actif
10527;CAVDL2721052;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;4.00;12.00;4839.80;4.00;12.00;4839.80;7.00;;;;Actif
13648;CAVDL2750035;XPRESSION;Xpression (XPRESSION);VM;LINUX;Redhat_5.8;Hors Prod;;ARGENT;2.00;4.00;25.00;2.00;4.00;25.00;3.00;;STI_EDITIQUE;STI-Editique;Actif
13437;CAVDL2750054;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;4.00;8.00;343.00;4.00;8.00;343.00;6.00;;;;Actif
11049;CAVDW1740051;;;VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;4.00;8.00;90.00;4.00;8.00;90.00;6.00;;;;Actif
11065;CAVDW1740054;MAGICDRAW;MAGICDRAW (MAGICDRAW);VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;4.00;2.00;80.00;4.00;2.00;80.00;4.50;;STI_OUTILS_DEV;STI-Outils DEV;Actif
11118;CAVDW1740073;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
11080;CAVDW1740074;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
11077;CAVDW1740088;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
11053;CAVDW1740089;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
11066;CAVDW1740092;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
13822;CAVIL2731034;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;4.00;243.00;2.00;4.00;243.00;3.00;;;;Actif
13441;CAVIL2770072;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;4.00;70.00;2.00;4.00;70.00;3.00;;;;Actif
9560;CAVIL2772030;;;VM;LINUX;CentOS_6Server;Hors Prod;;ARGENT;2.00;8.00;263.00;2.00;8.00;263.00;4.00;;;;Actif
9557;CAVIL2772031;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;8.00;383.00;2.00;8.00;383.00;4.00;;;;Actif
13206;CAVIW1742072;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
13189;CAVIW1742073;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
10158;CAVQL2726036;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;4.00;228.00;2.00;4.00;228.00;3.00;;;;Actif
10965;CAVQL2760044;;;VM;LINUX;CentOS_6Server;Hors Prod;;ARGENT;2.00;8.00;723.00;2.00;8.00;723.00;4.00;;;;Actif
10975;CAVQL2760045;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;8.00;483.00;2.00;8.00;483.00;4.00;;;;Actif
11216;CAVQL2760114;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;2.00;4.00;70.00;2.00;4.00;70.00;3.00;;;;Actif
9830;CAVQW1741050;;;VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;2.00;8.00;75.00;2.00;8.00;75.00;4.00;;;;Actif
12807;CAVTL1510030;;;VM;LINUX;Suse_11;Hors Prod;;ARGENT;2.00;8.00;104.00;2.00;8.00;104.00;4.00;;;;Actif
12809;CAVTL1510031;;;VM;LINUX;Suse_11;Hors Prod;;ARGENT;2.00;8.00;104.00;2.00;8.00;104.00;4.00;;;;Actif
11161;CAVTL1720045;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;45.00;2.00;2.00;45.00;2.50;;;;Actif
10292;CAVTL1720054;BAC;BAC (BAC);VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;0.667;0.667;8.333;0.667;0.667;8.333;0.833;;SNGC;SNGC;Actif
10292;CAVTL1720054;CLIENT;Client GRC (CLIENT);VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;0.667;0.667;8.333;0.667;0.667;8.333;0.833;;OUTIL_RELATION_CLIENT;Outil relation client;Actif
10292;CAVTL1720054;ZABBIX;ZABBIX (ZABBIX);VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;0.667;0.667;8.333;0.667;0.667;8.333;0.833;;STI_OUTILS_PROD;STI-Outils PROD;Actif
11391;CAVTL1720060;;;VM;LINUX;CentOS_6Server;Hors Prod;;ARGENT;2.00;4.00;990.00;2.00;4.00;990.00;3.00;;;;Actif
11400;CAVTL1720068;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;113.00;2.00;2.00;113.00;2.50;;;;Actif
11147;CAVTL1720072;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;2.00;25.00;2.00;2.00;25.00;2.50;;;;Actif
12102;CAVTL1721105;;;VM;LINUX;CentOS_6.6;Hors Prod;;ARGENT;2.00;4.00;110.00;2.00;4.00;110.00;3.00;;;;Actif
9227;CAVTL1721106;XPRESSION;Xpression (XPRESSION);VM;LINUX;CentOS_6.6;Hors Prod;;ARGENT;2.00;4.00;110.00;2.00;4.00;110.00;3.00;;STI_EDITIQUE;STI-Editique;Actif
9228;CAVTL1721115;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;4.00;155.00;2.00;4.00;155.00;3.00;;;;Actif
10145;CAVTL2726030;;;VM;LINUX;CentOS_6.4;Hors Prod;;ARGENT;2.00;4.00;112.00;2.00;4.00;112.00;3.00;;;;Actif
11597;CAVTW1220031;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;20.00;105.00;2.00;20.00;105.00;7.00;;;;Actif
11156;CAVTW1720048;;;VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
11160;CAVTW1720074;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;8.00;16.00;80.00;8.00;16.00;80.00;12.00;;;;Actif
10270;CAVTW1720075;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;8.00;16.00;80.00;8.00;16.00;80.00;12.00;;;;Actif
12901;CAVTW1919047;;;VM;WINDOWS;Windows_2012R2;Hors Prod;;ARGENT;2.00;4.00;660.00;2.00;4.00;660.00;3.00;;;;Actif
12898;CAVTW1919053;;;VM;WINDOWS;Windows_2008R2;Hors Prod;;ARGENT;4.00;12.00;140.00;4.00;12.00;140.00;7.00;;;;Actif
2685;CAZTL2720250;;;ZVM;LINUX;Redhat_8.6;Hors Prod;;;1.00;2.00;60.00;1.00;2.00;60.00;1.50;;;;Actif
13675;CBVDL2750195;;;VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;1.00;18.00;113.00;1.00;18.00;113.00;5.50;;;;Actif
13200;CBVIW1742076;;;VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;4.00;32.00;180.00;4.00;32.00;180.00;12.00;;;;Actif
5790;CI-00505682E43E;;;VM;LINUX;;Prod;;ELECTRUM_G350;8.00;24.00;275.00;8.00;24.00;275.00;14.00;;;;Actif
7279;CI-005056A0BBCF;;;VM;LINUX;;Hors Prod;;ELECTRUM_G350;4.00;16.00;160.00;4.00;16.00;160.00;8.00;;;;Actif
5886;CMSDA2723063;;;AIX;AIX;6.1;Hors Prod;;;1.00;6.00;100.00;1.00;6.00;100.00;2.50;;;;Actif
5914;CMSIA2733058;;;AIX;AIX;6.1;Hors Prod;;;1.00;6.00;130.00;1.00;6.00;130.00;2.50;;;;Actif
5899;CMSQA2728053;;;AIX;AIX;6.1;Hors Prod;;;1.00;6.00;110.00;1.00;6.00;110.00;2.50;;;;Actif
11095;CMTESTHRV5;;;VM;WINDOWS;Windows_2008;Hors Prod;;ARGENT;1.00;4.00;80.00;1.00;4.00;80.00;2.00;;;;Actif
10548;CMVDL2721031;SIRHIUS;Syst d'Information Ressources Humaines Intégré Unifié Simplifé (SIRHIUS);VM;LINUX;Redhat_6Server;Hors Prod;;ARGENT;2.00;4.00;558.00;2.00;4.00;558.00;3.00;;RH;RH;Actif
10581;CMVDL2721032;SIRHIUS;Syst d'Information Ressources Humaines Intégré Unifié Simplifé (SIRHIUS);VM;LINUX;Redhat_6Server;Hors Prod;;ARGENT;2.00;4.00;313.00;2.00;4.00;313.00;3.00;;RH;RH;Actif
10676;CMVDL2721033;DSN;DSN Global projet (DSN);VM;LINUX;Redhat_6Server;Hors Prod;;ARGENT;4.00;12.00;4804.00;4.00;12.00;4804.00;7.00;;DSN;DSN;Actif
10675;CMVDL2721034;ANTARES;Application Nationale des TrAitements Regionaux En action Sociale (ANTARES);VM;LINUX;Redhat_6.4;Hors Prod;;ARGENT;1.00;3.00;411.50;1.00;3.00;411.50;1.75;;ACTION_SOCIALE;Action Sociale;Actif
